transformation,configured_or_possible,may_change,person_id_plus_leg_sequence_semantics_preserved,cost_risk,runtime_design_rule,strategy_explicitly_configured,runtime_static_leg_cost_lookup_approved
ReRoute,yes,route,usually_same_structure_but_not_persistent,"distance,toll_facility_set_and_passage_time_change",static_lookup_prohibited,True,False
TimeAllocationMutator,yes,"departure_time,activity_duration",usually_same_structure_but_not_persistent,time_varying_toll_and_parking_duration_change,static_lookup_prohibited,True,False
SubtourModeChoice,yes,"mode,route,car_use_pattern",no,car_to_pt_must_not_be_charged;pt_to_car_has_no_static_row,static_lookup_prohibited,True,False
ChangeExpBeta_selected_plan_switch,yes,selected_plan,no,different copied_or_mutated_plan_can_share_person_id,static_lookup_prohibited,False,False
plan_copying,implicit_in_innovative_strategies,plan_instance,no,leg_sequence_is_not_a_persistent_plan_element_id,static_lookup_prohibited,False,False
experienced_plan_generation,MATSim_default,experienced_times_and_routes,no,event_reconstructed_legs_are_the_scoring_truth,runtime_events_required,False,False
stage_activity_insertion,possible_with_pt_routing,"leg_count,leg_order,stage_activities",no,original_main_leg_can_expand_to_multiple_stage_legs,static_lookup_prohibited,False,False
car_to_pt,possible_SubtourModeChoice,"mode,route,leg_structure",no,old_private_car_cost_would_be_false_positive,experienced_vehicle_events_only,False,False
pt_to_car,possible_SubtourModeChoice,"mode,route,leg_structure",no,new_car_leg_has_no_original_static_cost_record,experienced_vehicle_events_only,False,False
destination_mutation,not_configured,none_in_current_strategy_set,not_applicable,current_strategies_do_not_relocate_main_activities,still_do_not_use_static_lookup,False,False
car_vehicle_assignment,explicit_person_vehicle_mapping,car_use_activation,person_mapping_stable_but_active_vehicle_state_is_dynamic,mode_change_alters_whether_assignment_is_used,bind_person_to_vehicle_from_experienced_traffic_events,False,False
