source_id,mode_scope,source_url,source_dataset_url,effective_date,effective_date_basis,download_date,download_date_basis,official,local_path,project_relative_path,size_bytes,sha256
td_gtfs,franchised_bus;gmb;ferry;other_bus,https://static.data.gov.hk/td/pt-headway-en/gtfs.zip,https://data.gov.hk/en-data/dataset/hk-td-tis_11-pt-headway-en,2026-07-14,TD data revision cut-off date,2026-07-20,local snapshot creation date,True,F:\Matsim\matsim-example-project\data\transit\hongkong\PublicTransportGTFS\gtfs.zip,data/transit/hongkong/PublicTransportGTFS/gtfs.zip,13702444,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06
td_bus_route_fares,franchised_bus;other_bus,https://static.data.gov.hk/td/routes-fares-geojson/JSON_BUS.json,https://data.gov.hk/en-data/dataset/hk-td-tis_23-routes-fares-geojson,2026-07-14,TD data revision cut-off date,2026-07-20,API download manifest,True,F:\Matsim\matsim-example-project\data\transit\hongkong\API_Supplements\static\routes_fares_route_stop_points\bus_route_stop_points.json,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,78459310,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
td_gmb_route_fares,gmb,https://static.data.gov.hk/td/routes-fares-geojson/JSON_GMB.json,https://data.gov.hk/en-data/dataset/hk-td-tis_23-routes-fares-geojson,2026-07-14,TD data revision cut-off date,2026-07-20,API download manifest,True,F:\Matsim\matsim-example-project\data\transit\hongkong\API_Supplements\static\routes_fares_route_stop_points\gmb_route_stop_points.json,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/gmb_route_stop_points.json,20510869,9fae59795d2ee78fc5b22b83b78a26437497f0140cce7e2cf0af477a1e37432c
td_ferry_route_fares,ferry,https://static.data.gov.hk/td/routes-fares-geojson/JSON_FERRY.json,https://data.gov.hk/en-data/dataset/hk-td-tis_23-routes-fares-geojson,2026-07-14,TD data revision cut-off date,2026-07-20,API download manifest,True,F:\Matsim\matsim-example-project\data\transit\hongkong\API_Supplements\static\routes_fares_route_stop_points\ferry_route_stop_points.json,data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/ferry_route_stop_points.json,414073,dbfa4d9525aa72d5eeb8da58b1ac2fd77fea8ca1ba65df0ca9555cff9912944c
mtr_domestic_fares,mtr,https://opendata.mtr.com.hk/data/mtr_lines_fares.csv,https://data.gov.hk/en-data/dataset/mtr-data-routes-fares-barrier-free-facilities,2024-06-30,adult controlled fares effective 2024-06-30 and frozen in 2025/26 and 2026/27,2026-07-20,local snapshot creation date,True,F:\Matsim\matsim-example-project\data\transit\hongkong\MTR\mtr_lines_fares.csv,data/transit/hongkong/MTR/mtr_lines_fares.csv,743938,1bb28b99c80a019da30123c2815b4f3079584ad353a149637159af946e06f075
mtr_airport_express_fares,mtr_airport_express,https://opendata.mtr.com.hk/data/airport_express_fares.csv,https://data.gov.hk/en-data/dataset/mtr-data-routes-fares-barrier-free-facilities,2025-06-22,MTR announced Airport Express fare effective date,2026-07-20,local snapshot creation date,True,F:\Matsim\matsim-example-project\data\transit\hongkong\MTR\airport_express_fares.csv,data/transit/hongkong/MTR/airport_express_fares.csv,691,9d797ac7f64655d64d1f3b58b853c65bb88d235ed9b6dde162b585da33f107f5
mtr_light_rail_fares,light_rail,https://opendata.mtr.com.hk/data/light_rail_fares.csv,https://data.gov.hk/en-data/dataset/mtr-data-routes-fares-barrier-free-facilities,2024-06-30,adult controlled fares effective 2024-06-30 and frozen in 2025/26 and 2026/27,2026-07-20,local snapshot creation date,True,F:\Matsim\matsim-example-project\data\transit\hongkong\MTR\light_rail_fares.csv,data/transit/hongkong/MTR/light_rail_fares.csv,266638,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8
production_transit_schedule,model_input,project_input,project_input,2026-07-22,representative MATSim service date,,not applicable,False,F:\Matsim\matsim-example-project\data\transit\hongkong\processed\matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010\transitSchedule_5pct.xml.gz,data/transit/hongkong/processed/matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010/transitSchedule_5pct.xml.gz,7182822,eb92e6c7b3c2746313be92b8c88d51bc645d1db3c6605d1f4b472f27c9896aed
approved_route_inventory,model_input,project_input,project_input,2026-07-22,route assembly approval date,,not applicable,False,F:\Matsim\matsim-example-project\data\transit\hongkong\processed\transit_schedule_assembly_inputs_2026\approved_route_directions.csv,data/transit/hongkong/processed/transit_schedule_assembly_inputs_2026/approved_route_directions.csv,1361389,a7b2b738ebb2fd69cf9e83fe6c76e91c28494eab2e374a6301d4b62b574f23d2
ferry_stop_facilities,model_input,project_input,project_input,2026-07-22,production supply build,,not applicable,False,F:\Matsim\matsim-example-project\data\transit\hongkong\processed\matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010\ferry_stop_facilities.csv,data/transit/hongkong/processed/matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010/ferry_stop_facilities.csv,19725,f1f88e033c0074fbc4ac136584f06fc10c867647094e7c685cca3827eaa85011
