run9_delay_rank,signal_junction_id,run9_controlled_approach_delay_delta_veh_h,action,axis_cluster_tolerance_deg,reason
1,TS_H182,2059.88,merge_overfragmented_axes,40,"Five singleton axes at 11, 42, 73, 101, and 144 degrees overfragment a geometry-proxy junction; merge adjacent axes while retaining three conflicting stages."
2,TS_NT026,1768.86,retain_existing_two_axis_structure,25,"Two approximately orthogonal approach axes; no safe structural merge supported by current evidence."
3,TS_K019,900.30,merge_overfragmented_axes,40,"The 99, 125, and 132 degree approaches describe one broad axis under the basic proxy; retain the distinct 1/21 degree axis."
4,TS_NT078,505.96,retain_existing_two_axis_structure,25,"Two approximately orthogonal approach axes; no safe structural merge supported by current evidence."
5,TS_H352,489.51,retain_existing_two_axis_structure,25,"Two approximately orthogonal singleton approaches; timing calibration is required but structural merging is unsafe."
6,TS_NT689,394.63,merge_overfragmented_axes,40,"The 52 and 89 degree singleton axes are close enough for the bounded geometry proxy; retain the opposing 174/178 degree axis."
7,TS_NT008,213.97,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
8,TS_NT683,199.85,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
9,TS_K484,193.55,merge_overfragmented_axes,40,"Closely spaced 72-111 degree approaches were split into two proxy stages; combine them and retain the 153/173 degree axis."
10,TS_H115,189.46,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
11,TS_NT659,154.48,merge_overfragmented_axes,40,"The 96 and 135 degree singleton axes are combined under the bounded proxy; retain the distinct 47 degree axis."
12,TS_H002,152.86,retain_existing_two_axis_structure,25,"Two approximately orthogonal approach axes; no safe structural merge supported by current evidence."
13,TS_K011,142.74,retain_existing_two_axis_structure,25,"Two approximately orthogonal approach axes; no safe structural merge supported by current evidence."
14,TS_H445,141.69,retain_existing_two_axis_structure,25,"Two approximately orthogonal approach axes; no safe structural merge supported by current evidence."
15,TS_H222,137.09,merge_overfragmented_axes,40,"The 97 and 126 degree singleton axes are combined while the 36 degree axis remains separate."
16,TS_K010,136.01,merge_overfragmented_axes,40,"The 4 and 34 degree singleton axes are combined while the 96 degree axis remains separate."
17,TS_NT401,134.36,deactivate_no_competing_vehicle_stage,25,"One inferred vehicle stage has no competing modeled vehicle direction."
18,TS_NT542,122.97,deactivate_no_competing_vehicle_stage,25,"One inferred vehicle stage has no competing modeled vehicle direction."
19,TS_K720_P2,109.64,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
20,TS_NT006,106.64,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
21,TS_OSM_0157,101.44,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
22,TS_NT681,99.46,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
23,TS_H203,89.96,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
24,TS_K015,89.34,retain_existing_two_axis_structure,25,"Two approximately orthogonal approach axes; no safe structural merge supported by current evidence."
25,TS_NT021,83.02,retain_existing_two_axis_structure,25,"Two distinct axes remain after geometry review."
