official_operator_code,official_operator_components_json,joint_operation,official_agency_name,official_agency_url,gtfs_route_count,json_route_pattern_count,franchised_geometry_pattern_count,schedule_route_count,operator_scope_status,service_scope,scope_evidence,scope_evidence_source_file,scope_evidence_sha256
,[],False,,,0,0,0,5,operator_scope_unresolved,operator_scope_unresolved,no_exact_official_bus_JSON_route_pattern_or_operator,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::agency.txt;data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06;2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
CTB,"[""CTB""]",False,Citybus,https://www.citybus.com.hk,481,672,667,672,confirmed_franchised_bus,confirmed_franchised_bus,operator_code_present_in_official_CSDI_franchised_bus_geometry_layer,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417
DB,"[""DB""]",False,Discovery Bay Residents' Services,https://www.hkemobility.gov.hk/en/public-transport/bus/DB,12,18,0,18,other_bus_service,other_bus_service,official_GTFS_agency_name_and_bus_JSON_companyCode_identify_non_core_service,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::agency.txt;data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06;2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
KMB,"[""KMB""]",False,Kowloon Motor Bus,https://www.kmb.hk,783,1152,1151,1152,confirmed_franchised_bus,confirmed_franchised_bus,operator_code_present_in_official_CSDI_franchised_bus_geometry_layer,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417
KMB+CTB,"[""KMB"",""CTB""]",True,Kowloon Motor Bus|Citybus,https://www.kmb.hk|https://www.citybus.com.hk,126,187,187,187,confirmed_franchised_bus,confirmed_franchised_bus,operator_code_present_in_official_CSDI_franchised_bus_geometry_layer,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417
LRTFeeder,"[""LRTFeeder""]",False,MTR Bus,https://www.mtr.com.hk,32,45,0,45,other_bus_service,other_bus_service,official_GTFS_agency_name_and_bus_JSON_companyCode_identify_non_core_service,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::agency.txt;data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06;2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
LWB,"[""LWB""]",False,Long Win Bus,http://www.lwb.hk,89,149,151,149,confirmed_franchised_bus,confirmed_franchised_bus,operator_code_present_in_official_CSDI_franchised_bus_geometry_layer,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417
LWB+CTB,"[""LWB"",""CTB""]",True,Long Win Bus|Citybus,http://www.lwb.hk|https://www.citybus.com.hk,3,3,3,3,confirmed_franchised_bus,confirmed_franchised_bus,operator_code_present_in_official_CSDI_franchised_bus_geometry_layer,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417
NLB,"[""NLB""]",False,New Lantao Bus,https://www.nlb.com.hk,60,92,92,92,confirmed_franchised_bus,confirmed_franchised_bus,operator_code_present_in_official_CSDI_franchised_bus_geometry_layer,data/transit/hongkong/API_Supplements/geometry/franchised_bus_routes.geojson,16fb3f75a7fbe8dbe32788365b5b48ab76ce65dfda561f344dc2106ec7c7b417
PI,"[""PI""]",False,Ma Wan Residents' Services,https://www.hkemobility.gov.hk/en/public-transport/bus/PI,9,13,0,13,other_bus_service,other_bus_service,official_GTFS_agency_name_and_bus_JSON_companyCode_identify_non_core_service,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::agency.txt;data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06;2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
XB,"[""XB""]",False,Lok Ma Chau Crossing-boundary Coach Services,https://www.td.gov.hk/en/transport_in_hong_kong/land_based_cross_boundary_transport/access_to_lok_ma_chau_control_point,16,27,0,27,other_bus_service,other_bus_service,official_GTFS_agency_name_and_bus_JSON_companyCode_identify_non_core_service,data/transit/hongkong/PublicTransportGTFS/gtfs.zip::agency.txt;data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06;2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064
