repair_id,severity,blocking,domain,finding,required_change
SCORING-R01,critical,True,currency_semantics,Production config does not declare that scoring currency is HKD.,"Adopt an explicit, reviewed currency convention and provenance."
SCORING-R02,critical,True,distance_money_economic_meaning,The economic content of car monetaryDistanceRate=-0.0007 currency/m is undocumented.,"Establish whether it represents energy, other variable cost, or a calibrated generalized-cost proxy before subtraction."
SCORING-R03,critical,True,authorized_design,Structurally preferred design C requires neutralizing a currently protected scoring parameter.,"Obtain separate authorization, behavioral design approval, implementation review, and joint calibration."
SCORING-R04,critical,True,unresolved_parking,835 non-random private-car parking events have null cost and are concentrated in long and education trips.,Repair with verified evidence; keep formal adoption blocked and never default to zero.
SCORING-R05,high,True,runtime_event_implementation,No experienced-event private-car cost module exists and implementation is not approved.,Implement only after approval using the reviewed vehicle state and physical-event contracts.
SCORING-R06,high,True,baseline_replay,The required iteration-0/replay acceptance has not been run.,Pass the frozen baseline replay contract before any scoring or mode-choice adoption.
SCORING-R07,high,True,experienced_time_semantics,Offline toll passage and parking times are planned/estimated; runtime events use experienced times.,Reconcile only rule-explainable rate/billing boundary differences and report raw plus unexplained error.
SCORING-R08,high,True,motorcycle_filter,Motorcycles use mode=car and therefore share current car mode distance scoring.,Future event module must filter private vehicle class and prove zero motorcycle private-car cost events.
SCORING-R09,medium,True,terminal_parking,Terminal non-home parking needs an explicit right-censoring and cross-midnight duration rule.,Approve a sourced rule and settle terminal events only at mobsim end; otherwise fail fast.
SCORING-R10,medium,False,empirical_money_event_inventory,No production event log exists at the configured output path for empirical event-type confirmation.,"During future replay, assert that baseline fixed-cost and private-car money-event counts match the contract."
