experiment_id,date,class,family,name,status,technical_success,calibration_decision,production_status,candidate_label,candidate12_assessment,iterations,source_git_sha,implementation_git_sha,audit_git_sha,jar_sha256,payload_path,release_path,run_path,audit_path,audit_sha256,input_sha256,supersedes,conclusion,notes
"CAL-GV4-PV32332-JOINTRELAX-TAXIWAIT-PCE0195-01","2026-09-04","CALIBRATION","gradev4_jointrelax_pce","GradeV4 PV32332 JointRelax TaxiWait balanced PCE run2","SUCCESS","true","SENSITIVITY_REVIEW_REQUIRED","NOT_ADOPTED","","NOT_APPLICABLE","0..31","5a2a82cc8c96e639597c84b2c9fde4ce7f1bcca8","5a2a82cc8c96e639597c84b2c9fde4ce7f1bcca8","","0aeefaa6381035b5fc92dc314d15b9b09d45de1033b716f9ea0c0975bd892423","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260904_gradev4_pv32332_jointrelax_taxiwait_pce0195_payload2","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260904_gradev4_pv32332_jointrelax_taxiwait_pce0195_release2","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260904_gradev4_pv32332_jointrelax_taxiwait_pce0195_run2","/mnt/DiskM/by/hk_stage11_candidate11_taxi_dvrp_20260904_gradev4_pv32332_jointrelax_taxiwait_pce0195_audit3","","e14e93be85ade9e081a9b26a3530fd68d133fabab5b0d1dc93df135cbe4a8552","","Completed iterations 0-31 with exit 0; balanced PCE removed the original JointRelax road pathology but Taxi waiting and identity-specific TCS calibration gaps remain.","Technical sensitivity only; not Candidate12 and not production. run_metadata_sha256=c8a810ea79f13d9bc9bf77a386511cde52b6948f61d5f3a57b1a7f0bcbc964f2 audit_manifest_sha256=25bd07d7405c25eb539c657b48e286e42abed0490296af3c16152b230ea9c674 analysis3_summary_sha256=917ecd8f19fc535014e761a9766938869b84a9ae1c37f6b154bcd2cd0055e3ca; separate Taxi DVRP history used Candidate11 signals and is not implicitly present on this integration branch"
"FIX-ST11-MM-09","2026-08-05","FIX","stage11_core","Fixed-canonical multimodal cost stack run9","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0..10","","","","","","","/mnt/DiskM/by/hk_stage11_direct_10it_fixed_plans_20260805_run9","data/transport_costs/hongkong/integration_stage11_contract_v1/stage11_direct_10it_fixed_plans_20260805_success.json","","","","Completed 11 QSim iterations with exit 0 but contained no native Taxi legs.","hashes_not_recorded; fixed canonical plan technical gate"
"FIX-ST11-TAXI-14","2026-08-06","FIX","stage11_core","Native Taxi 44000 no-ride run14","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0..10","","","","","","/mnt/DiskM/by/hk_multimodal_cost_stage11_taxi_44000_no_ride_20260806_release11","/mnt/DiskM/by/hk_stage11_taxi_44000_no_ride_20260806_run14","data/taxi/hongkong/processed/taxi_44000_no_ride_student_swap_v1/stage11_no_ride_10it_20260806_success.json","","","","Completed with 44000 native Taxi legs and simultaneous Taxi PT and Car scoring callbacks.","hashes_not_recorded; innovation frozen"
"FIX-ST11-ESCORT-04","2026-08-06","FIX","stage11_core","Physical school escort run4","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0","","","","","","/mnt/DiskM/by/hk_stage11_school_escort_physical_20260806_release4","/mnt/DiskM/by/hk_stage11_school_escort_physical_20260806_run4","data/taxi/hongkong/processed/taxi_44000_no_ride_student_swap_v1/school_escort_physical_pilot_v1/school_escort_physical_pilot_1iteration_20260806_success.json","","","","Validated real household QVehicle passenger binding with all outcomes classified.","hashes_not_recorded; bounded mechanism pilot"
"FIX-ST11-JREROUTE-04","2026-08-06","FIX","stage11_core","Joint reroute physical binding run4","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","/mnt/DiskM/by/hk_stage11_school_escort_joint_reroute_20260806_release4","/mnt/DiskM/by/hk_stage11_school_escort_joint_reroute_20260806_run4","data/taxi/hongkong/processed/taxi_44000_no_ride_student_swap_v1/school_escort_physical_pilot_v1/school_escort_joint_reroute_1cycle_20260806_success.json","","","","Preserved bindings through one JointReRoute cycle with no bound teleportation.","hashes_not_recorded; fixed route cost module excluded"
"FIX-ST11-DYNCAR-04","2026-08-06","FIX","stage11_core","Dynamic Car cost joint reroute run4","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","/mnt/DiskM/by/hk_stage11_dynamic_car_joint_reroute_20260806_release4","/mnt/DiskM/by/hk_stage11_dynamic_car_joint_reroute_20260806_run4","data/taxi/hongkong/processed/taxi_44000_no_ride_student_swap_v1/school_escort_physical_pilot_v1/school_escort_dynamic_car_joint_reroute_1cycle_20260806_success.json","","","","Validated dynamic Car energy toll and parking settlement with joint rerouting.","hashes_not_recorded; bounded technical pilot"
"FIX-ST11-HHMAX-03","2026-08-06","FIX","stage11_core","Household maximum-utility selector run3","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0","","","","","","/mnt/DiskM/by/hk_stage11_household_max_utility_20260806_release3","/mnt/DiskM/by/hk_stage11_household_max_utility_20260806_run3","data/taxi/hongkong/processed/taxi_44000_no_ride_student_swap_v1/school_escort_physical_pilot_v1/household_max_utility_waypoint_1iteration_20260806_success.json","","","","Validated deterministic household composite selection for 139 existing pairs.","hashes_not_recorded; no endogenous pair generation"
"FIX-ST11-REALMODE-10","2026-08-06","FIX","stage11_core","Household real-mode release selector run10","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0","","","","","","/mnt/DiskM/by/hk_stage11_household_real_mode_20260806_release10","/mnt/DiskM/by/hk_stage11_household_real_mode_20260806_run10","data/taxi/hongkong/processed/taxi_44000_no_ride_student_swap_v1/school_escort_physical_pilot_v1/household_real_mode_waypoint_1iteration_20260806_success.json","","","","Released unbound passengers to physical PT or routed Taxi while preserving active bindings.","hashes_not_recorded; bounded selector pilot"
"FIX-ST11-ENDOGENOUS-02","2026-08-07","FIX","stage11_core","Endogenous household single-leg selector run2","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0","","","","","","/mnt/DiskM/by/hk_stage11_endogenous_household_joint_20260807_release2","/mnt/DiskM/by/hk_stage11_endogenous_household_joint_20260807_run2","data/taxi/hongkong/processed/taxi_44000_no_ride_student_swap_v1/household_joint_candidate_registry_v2/endogenous_household_joint_1iteration_20260807_success.json","","","","Expanded to 384 independently selectable passenger legs with no resource conflicts.","hashes_not_recorded; creates no new driver tour"
"FIX-ST11-ALLHH-13","2026-08-07","FIX","stage11_core","All car-household joint-plan run13","SUCCESS","true","TECHNICAL_GATE_PASSED","NOT_ADOPTED","","NOT_APPLICABLE","0..1","","","","","","/mnt/DiskM/by/hk_stage11_all_household_joint_20260807_release13","/mnt/DiskM/by/hk_stage11_all_household_joint_20260807_run13","data/taxi/hongkong/processed/taxi_44000_no_ride_student_swap_v1/household_joint_plan_potential_audit_v3/all_household_joint_plan_iterations_0_1_run13_success.json","","","","Validated broad household candidate generation and 2124 physical bindings.","hashes_not_recorded; deterministic technical gate"
