quote_id,actual_transport_mode,matsim_line_id,matsim_route_id,official_route_id,official_direction,boarding_stop_id,alighting_stop_id,official_published_fare_hkd,model_fare_hkd,cost_hkd,currency,fare_resolution_status,fare_resolution_method,cost_quality,anomaly_flag,anomaly_severity,anomaly_reason,audit_priority,fallback_used,candidate_values_hkd_json,selection_rationale,source_record_ids_json,source_file,source_sha256,transfer_concession_status,eligibility_status,temporal_status,unresolved_reason
confirmed_official_unique,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,7.4,7.4,7.4,HKD,official_unique,direct_unique_gtfs_ordered_od,B,False,,,0,False,[7.4],exact Bus Core v1 active rule and unique raw GTFS ordered OD,"[""gtfs:fare_rules:614834;fare_attributes:614834""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
confirmed_official_zero,bus,line_bus_1000001,bus_1000001_2,1000001,2,13379,12418,0.0,0.0,0.0,HKD,official_unique,direct_unique_gtfs_ordered_od,B,True,medium,explicit_raw_zero_fare,3,False,[0.0],exact Bus Core v1 active rule and unique raw GTFS ordered OD,"[""gtfs:fare_rules:614982;fare_attributes:614982""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
confirmed_duplicate_consensus,bus,line_bus_1000021,bus_1000021_1,1000021,1,10281,13142,,5.8,5.8,HKD,official_duplicate_consensus,identical_raw_candidate_consensus,C,True,low,duplicate_identical_records_collapsed_for_simulation,1,False,[5.8],all 2 raw official candidate records equal 5.8; no record-order selection,"[""gtfs:fare_rules:618482;fare_attributes:618482"",""gtfs:fare_rules:618712;fare_attributes:618712""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
confirmed_conflict_unique_mode,bus,line_bus_1000493,bus_1000493_1,1000493,1,1481,449,,4.2,4.2,HKD,official_conflict_candidate_selected,modal_raw_official_candidate_amount,D,True,high,conflicting_official_amounts_resolved_for_simulation,4,False,"[4.1,4.2]","unique raw-candidate mode 4.2 occurs 2 times; frequencies={""4.1"":1,""4.2"":2}","[""gtfs:fare_rules:727688;fare_attributes:727688"",""gtfs:fare_rules:727714;fare_attributes:727714"",""gtfs:fare_rules:728200;fare_attributes:728200""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
confirmed_conflict_median_tie_higher,bus,line_bus_1000001,bus_1000001_1,1000001,1,12408,13183,,10.4,10.4,HKD,official_conflict_candidate_selected,median_nearest_existing_candidate_tie_higher,D,True,high,conflicting_official_amounts_resolved_for_simulation,4,False,"[7.4,10.4]","modal frequency tied at 1; distinct-value median position 8.9; selected nearest existing candidate 10.4, with higher amount used for an equal-distance tie","[""gtfs:fare_rules:614843;fare_attributes:614843"",""gtfs:fare_rules:614844;fare_attributes:614844""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
terminal_OD_matching_JSON_fullFare,bus,line_bus_1000378,bus_1000378_1,1000378,1,359,10241,,9.4,9.4,HKD,official_conflict_candidate_selected,terminal_OD_candidate_matching_JSON_fullFare,D,True,high,conflicting_official_amounts_resolved_for_simulation,4,False,"[5.6,9.4]",terminal ordered OD; exactly one distinct raw candidate equals JSON fullFare 9.4,"[""gtfs:fare_rules:701086;fare_attributes:701086"",""gtfs:fare_rules:701134;fare_attributes:701134"",""gtfs:fare_rules:702310;fare_attributes:702310""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
route_scope_unresolved_unique,bus,line_bus_1000690,bus_1000690_1,1000690,1,10000219,10000220,23.8,23.8,23.8,HKD,official_unique_scope_relaxed,direct_unique_gtfs_ordered_od_route_scope_unresolved,C,True,medium,exact_GTFS_OD_used_despite_missing_CSDI_route_scope_key,2,False,[23.8],unique raw GTFS ordered OD and exact JSON direction used despite the missing exact CSDI route-scope key,"[""gtfs:fare_rules:772352;fare_attributes:772352""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
route_scope_unresolved_duplicate,bus,line_bus_1000691,bus_1000691_1,1000691,1,10000003,8143,,4.7,4.7,HKD,official_duplicate_consensus,identical_raw_candidate_consensus,C,True,low,duplicate_identical_records_collapsed_for_simulation,1,False,[4.7],all 2 raw official candidate records equal 4.7; no record-order selection,"[""gtfs:fare_rules:773120;fare_attributes:773120"",""gtfs:fare_rules:773122;fare_attributes:773122""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
LRTFeeder_unique,bus,line_bus_1000066,bus_1000066_1,1000066,1,10000039,12384,5.1,5.1,5.1,HKD,official_unique_scope_relaxed,direct_unique_gtfs_ordered_od_other_bus_scope,B,True,medium,other_bus_service_included_for_coverage_without_eligibility_modelling,2,False,[5.1],unique raw GTFS ordered OD used for another officially identified bus service without passenger eligibility modelling,"[""gtfs:fare_rules:631738;fare_attributes:631738""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
DB_unique,bus,line_bus_1000193,bus_1000193_1,1000193,1,10000085,10000086,71.4,71.4,71.4,HKD,official_unique_scope_relaxed,direct_unique_gtfs_ordered_od_other_bus_scope,B,True,medium,other_bus_service_included_for_coverage_without_eligibility_modelling,2,False,[71.4],unique raw GTFS ordered OD used for another officially identified bus service without passenger eligibility modelling,"[""gtfs:fare_rules:643617;fare_attributes:643617""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
PI_unique,bus,line_bus_1000218,bus_1000218_1,1000218,1,10000403,12783,32.5,32.5,32.5,HKD,official_unique_scope_relaxed,direct_unique_gtfs_ordered_od_other_bus_scope,B,True,medium,other_bus_service_included_for_coverage_without_eligibility_modelling,2,False,[32.5],unique raw GTFS ordered OD used for another officially identified bus service without passenger eligibility modelling,"[""gtfs:fare_rules:650166;fare_attributes:650166""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
XB_unique,bus,line_bus_1000618,bus_1000618_1,1000618,1,10000082,1326,55.0,55.0,55.0,HKD,official_unique_scope_relaxed,direct_unique_gtfs_ordered_od_other_bus_scope,B,True,medium,other_bus_service_included_for_coverage_without_eligibility_modelling,2,False,[55.0],unique raw GTFS ordered OD used for another officially identified bus service without passenger eligibility modelling,"[""gtfs:fare_rules:751455;fare_attributes:751455""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
other_service_conflict,bus,line_bus_1000218,bus_1000218_1,1000218,1,12783,12786,,32.5,32.5,HKD,official_conflict_candidate_selected,median_nearest_existing_candidate_tie_higher,D,True,high,conflicting_official_amounts_resolved_for_simulation,4,False,"[2.0,32.5]","modal frequency tied at 1; distinct-value median position 17.25; selected nearest existing candidate 32.5, with higher amount used for an equal-distance tie","[""gtfs:fare_rules:650129;fare_attributes:650129"",""gtfs:fare_rules:650133;fare_attributes:650133""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
known_operator_unresolved_route_fallback,bus,line_bus_1000004,bus_1000004_1,1000004,,unknown_boarding,unknown_alighting,,21.3,21.3,HKD,route_fallback,all_bus_distance_stop_cohort_median_nearest_existing,D,True,high,route_level_fallback_for_simulation_coverage;exact_ordered_OD_not_available_route_fallback_used,5,True,"[6.1,43.0,50.0,38.0,38.0,13.6,21.3,48.0,45.0,6.1,11.3,6.1,55.0,63.0,21.3,45.0,35.0,7.4,6.1,10.7,11.3,16.5,45.0,16.5,7.2]","level 5 similarity cohort of 25 routes; nonzero route-representative median position 28.15; nearest actual reference value 21.3, tie higher",[],data/transport_costs/hongkong/pt_fare_v1/bus_fare_simulation_v1/bus_simulation_fare_rules.parquet;data/transit/hongkong/processed/matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010/transitSchedule_5pct.xml.gz;data/transit/hongkong/processed/matsim_road_pt_supply_2026_hybrid_capacity_mixed_bus_pcu005_ferry_core_v1_cap010/network.xml.gz,"{""gtfs"":""e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06"",""network"":""dfc696442913a6d16a1ca1be7e5a332ec5762012190ed43a38f05493905ddc95"",""schedule"":""eb92e6c7b3c2746313be92b8c88d51bc645d1db3c6605d1f4b472f27c9896aed""}",not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
known_route_unknown_OD_fallback,bus,line_bus_1000001,bus_1000001_1,1000001,1,unknown_boarding,unknown_alighting,,10.4,10.4,HKD,route_fallback,exact_json_route_direction_fullFare,D,True,high,route_level_fallback_for_simulation_coverage;exact_ordered_OD_not_available_route_fallback_used,5,True,[10.4],exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43210;43211;43212;43213;43214;43215;43216;43217;43218;43219;43220;43221;43222;43223;43224;43225;43226;43227;43228;43229;43230""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
transfer_requested_returns_base,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,7.4,7.4,7.4,HKD,official_unique,direct_unique_gtfs_ordered_od,B,False,,,0,False,[7.4],exact Bus Core v1 active rule and unique raw GTFS ordered OD,"[""gtfs:fare_rules:614834;fare_attributes:614834""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
specified_passenger_payment_returns_generic,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,7.4,7.4,7.4,HKD,official_unique,direct_unique_gtfs_ordered_od,B,False,,,0,False,[7.4],exact Bus Core v1 active rule and unique raw GTFS ordered OD,"[""gtfs:fare_rules:614834;fare_attributes:614834""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
travel_date_returns_snapshot,bus,line_bus_1000001,bus_1000001_1,1000001,1,10000016,12406,7.4,7.4,7.4,HKD,official_unique,direct_unique_gtfs_ordered_od,B,False,,,0,False,[7.4],exact Bus Core v1 active rule and unique raw GTFS ordered OD,"[""gtfs:fare_rules:614834;fare_attributes:614834""]",data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_rules.txt;data/transit/hongkong/PublicTransportGTFS/gtfs.zip::fare_attributes.txt,e5ad020b79d0020625a4e8eb5428c2253a07705b71bfb809d8a3fa178032ce06,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
reverse_OD_uses_route_fallback,bus,line_bus_1000001,bus_1000001_1,1000001,1,12406,10000016,,10.4,10.4,HKD,route_fallback,exact_json_route_direction_fullFare,D,True,high,route_level_fallback_for_simulation_coverage;exact_ordered_OD_not_available_route_fallback_used,5,True,[10.4],exact official operator + routeId + routeSeq JSON fullFare used only as a route-level simulation fallback,"[""json:feature_indices:43210;43211;43212;43213;43214;43215;43216;43217;43218;43219;43220;43221;43222;43223;43224;43225;43226;43227;43228;43229;43230""]",data/transit/hongkong/API_Supplements/static/routes_fares_route_stop_points/bus_route_stop_points.json,2346a30a74bf0cc5644e9e711c23d7bd300c5baba4cb767dfc9dc38a7308e064,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,
unknown_route_unresolved,bus,line_bus_unknown,bus_unknown_1,unknown,1,a,b,,,,HKD,unresolved,,U,True,high,unknown_route_has_no_simulation_fallback,,False,[],,[],,,not_modelled_ignored_for_v1,not_modelled_generic_passenger_assumed,source_snapshot_applied_without_route_specific_effective_date,unknown_matsim_bus_route
