tunnel_id,tunnel_name,taxi_type,taxi_passenger_surcharge_hkd,rule_note,source_url,private_vehicle_road_toll_hkd,private_vehicle_toll_note,fare_effective_date,source_file,source_download_date,currency
cross_harbour_tunnel,Cross-Harbour Tunnel,urban_taxi,50.0,taxi passenger pays outbound $25 plus return $25 unless exception applies,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_road_harbour_crossing_tvt.html,2026-07-27,HKD
eastern_harbour_crossing,Eastern Harbour Crossing,urban_taxi,50.0,taxi passenger pays outbound $25 plus return $25 unless exception applies,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_road_harbour_crossing_tvt.html,2026-07-27,HKD
western_harbour_crossing,Western Harbour Crossing,urban_taxi,50.0,taxi passenger pays outbound $25 plus return $25 unless exception applies,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tvt/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_road_harbour_crossing_tvt.html,2026-07-27,HKD
tai_lam_tunnel,Tai Lam Tunnel,urban_taxi,28.0,taxi passenger surcharge from TD taxi fare table,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tlt/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2025-05-31,td_tai_lam_tunnel_tvt.html,2026-07-27,HKD
tates_cairn_tunnel,Tate's Cairn Tunnel,urban_taxi,20.0,taxi passenger surcharge from TD taxi fare table,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/taxi/taxi_fare_of_hong_kong/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_taxi_fare_of_hong_kong.html,2026-07-27,HKD
aberdeen_tunnel,Aberdeen Tunnel,urban_taxi,8.0,taxi passenger surcharge from TD taxi fare table,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/taxi/taxi_fare_of_hong_kong/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_taxi_fare_of_hong_kong.html,2026-07-27,HKD
shing_mun_tunnels,Shing Mun Tunnels,urban_taxi,8.0,taxi passenger surcharge from TD taxi fare table,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/taxi/taxi_fare_of_hong_kong/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_taxi_fare_of_hong_kong.html,2026-07-27,HKD
lion_rock_tunnel,Lion Rock Tunnel,urban_taxi,8.0,taxi passenger surcharge from TD taxi fare table,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/taxi/taxi_fare_of_hong_kong/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_taxi_fare_of_hong_kong.html,2026-07-27,HKD
tsing_sha_control_area,Tsing Sha Control Area,urban_taxi,8.0,taxi passenger surcharge from TD taxi fare table,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/taxi/taxi_fare_of_hong_kong/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_taxi_fare_of_hong_kong.html,2026-07-27,HKD
tai_lam_tunnel,Tai Lam Tunnel,new_territories_taxi,28.0,taxi passenger surcharge from TD taxi fare table,https://www.td.gov.hk/en/transport_in_hong_kong/tunnels_and_bridges_n/tlt/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2025-05-31,td_tai_lam_tunnel_tvt.html,2026-07-27,HKD
shing_mun_tunnels,Shing Mun Tunnels,new_territories_taxi,8.0,taxi passenger surcharge from TD taxi fare table,https://www.td.gov.hk/en/transport_in_hong_kong/public_transport/taxi/taxi_fare_of_hong_kong/index.html,,Private vehicle tolls are maintained separately and are not used as taxi passenger surcharge.,2024-07-14,td_taxi_fare_of_hong_kong.html,2026-07-27,HKD
