"建议申请数据","建议最低粒度","申请目的","首要持有/协调单位"
"匿名化住户、个人及出行调查记录","起终点至少细分至26区，时间30分钟；包含出行目的、方式、出发/到达时间、换乘、车辆可用、家庭和住房属性，并提供扩样权重","校准居民一天中的活动安排、出行时间和交通方式选择","运输署"
"公共交通分站上下车及区间载客量","站点×线路×方向×15分钟；至少一个完整普通月份；覆盖公交、专线小巴、港铁、轻铁和渡轮","校准各线路客流、换乘、拥挤程度和不同时段的公共交通需求","运输署协调；港铁及各运营商"
"公交和专线小巴实际运行记录","车辆或班次编号、各站到离时间、取消班次、车辆类型；至少连续4个普通工作周","建立可靠的公交和小巴时刻表、站间运行时间、停站时间和服务稳定性","运输署协调；公交及小巴运营商"
"道路逐方向基础属性和交通控制数据","路段级车道数、道路等级、限速、设计容量、转向限制和公交专用道；路口提供早高峰、平峰、晚高峰信号配时","准确设置道路通行能力、交叉口延误和车辆可选路径","运输署"
"连续交通流、速度、占有率和车型分类","15分钟或原始时间间隔；至少连续3至12个月；包含缺测标志、方向、车道和设备元数据","识别典型工作日、季节差异和拥堵规律，并验证道路容量设置","运输署"
"货运及商业车辆出行数据","至少26区起终点×车型×小时；区分轻型货车、重型货车、服务车辆和主要行业","补充居民出行以外的道路交通，并校准货运走廊和时段","运输署；政府统计处"
"渡轮和街渡完整运营及客流数据","航线×方向×航班；实际到离时间、船型容量、取消班次和逐航班客流","完善离岛和跨海交通，并验证渡轮班次和载客需求","运输署协调；渡轮运营商"
"出租车及网约车匿名汇总数据","18区或26区起终点×15至30分钟；区分载客、空驶、上下客和车辆在线时长","补充点到点客运、空驶交通和道路占用","运输署协调；相关运营平台"
"停车供应、价格和占用率","停车场及路旁泊位设施级；15至60分钟占用率；包含开放时段、价格和停车限制","校准驾车目的地选择、停车阻抗和车辆停放需求","运输署协调；房屋署、房协及停车场运营商"
"步行、自行车和行人过街观测数据","路段或路口×15分钟；区分方向、工作日/周末，并提供过街信号和步行网络限制","校准短途出行、接驳过程和非机动车交通","运输署、路政署"
"匿名化居住地—工作地数据或特别制表","首选DCCA/LSUG到DCCA；最低DCCA到18区；附交通方式、行业、出发时段、在家工作、无固定工作地点和境外工作","验证居民通勤方向、距离、方式和工作地点分布","政府统计处"
"分区就业岗位和机构规模","DCCA/LSUG级；包含行业就业人数、机构数量、机构规模和工作地点人数","更合理地分配各地区的就业和工作出行吸引量","政府统计处"
"学生居住地—学校匿名汇总及单校在校人数","居住DCCA到学校或学区，按学段划分；提供单校、上下午班、学校类别年度人数","验证学生上学方向、距离、学校吸引规模和接送需求","教育局"
"口岸分时段旅客流量","口岸×方向×旅客类别×小时；区分普通工作日、周末、公众假期和主要节假日","建立准确的抵港、离港时段和不同旅客类别需求","入境事务处"
"访港旅客匿名调查数据或特别制表","至少包含口岸、住宿地区、到访地区或景点、来港目的、停留日数、活动次数和交通方式；优先2025至2026年","验证旅客从口岸到住宿地和主要活动地的真实分布","香港旅游发展局"
"港铁和轻铁全天计划及实际运行摘要","每个列车班次的各站到离时间、站间运行时间、停站时间、短途折返和车辆编组；区分工作日和周末","建立可靠的轨道交通时刻表、换乘时间和服务频率","港铁公司"
"建筑用途和设施容量","建筑或地段级；包含住宅单位、非住宅楼面面积、酒店客房和主要机构容量","将居住、就业和其他活动需求更合理地分配到具体建筑","地政总署、规划署、屋宇署"
